Python matches: 1424
Verilog matches: 1420

Missing in Verilog:
Row 52 Col 61
Row 52 Col 107
Row 52 Col 109
Row 52 Col 118
Row 53 Col 0
Row 53 Col 21
Row 53 Col 51
Row 53 Col 59
Row 53 Col 135
Row 54 Col 0
Row 54 Col 38
Row 54 Col 39
Row 54 Col 45
Row 54 Col 65
Row 54 Col 106
Row 54 Col 107
Row 55 Col 50
Row 55 Col 55
Row 55 Col 71
Row 55 Col 109
Row 56 Col 36
Row 56 Col 111
Row 57 Col 0
Row 57 Col 33
Row 57 Col 45
Row 57 Col 81
Row 57 Col 122
Row 57 Col 136
Row 58 Col 65
Row 58 Col 87
Row 58 Col 122
Row 59 Col 24
Row 59 Col 39
Row 59 Col 87
Row 59 Col 136
Row 60 Col 38
Row 61 Col 0
Row 61 Col 129
Row 62 Col 49
Row 62 Col 78
Row 62 Col 127
Row 63 Col 136
Row 64 Col 0
Row 64 Col 32
Row 64 Col 74
Row 64 Col 87
Row 64 Col 90
Row 64 Col 110
Row 65 Col 57
Row 65 Col 136
Row 66 Col 3
Row 66 Col 10
Row 66 Col 136
Row 67 Col 25
Row 67 Col 89
Row 67 Col 122
Row 67 Col 136
Row 68 Col 21
Row 68 Col 22
Row 68 Col 43
Row 69 Col 15
Row 69 Col 46
Row 69 Col 78
Row 69 Col 89
Row 69 Col 90
Row 69 Col 114
Row 69 Col 122
Row 69 Col 136
Row 70 Col 17
Row 70 Col 42
Row 70 Col 54
Row 70 Col 80
Row 70 Col 92
Row 70 Col 112
Row 71 Col 21
Row 71 Col 40
Row 71 Col 46
Row 71 Col 67
Row 71 Col 69
Row 71 Col 84
Row 71 Col 98
Row 71 Col 136
Row 72 Col 98
Row 72 Col 113
Row 72 Col 118
Row 73 Col 12
Row 73 Col 107
Row 73 Col 120
Row 74 Col 0
Row 74 Col 1
Row 74 Col 41
Row 74 Col 42
Row 74 Col 46
Row 74 Col 87
Row 74 Col 131
Row 74 Col 136
Row 75 Col 3
Row 75 Col 7
Row 75 Col 51
Row 75 Col 76
Row 76 Col 0
Row 76 Col 21
Row 76 Col 22
Row 76 Col 35
Row 76 Col 41
Row 76 Col 50
Row 76 Col 51
Row 76 Col 95
Row 76 Col 134
Row 76 Col 136
Row 77 Col 6
Row 77 Col 7
Row 77 Col 29
Row 77 Col 78
Row 77 Col 136
Row 78 Col 10
Row 78 Col 11
Row 78 Col 90
Row 78 Col 111
Row 79 Col 22
Row 79 Col 68
Row 79 Col 77
Row 79 Col 136
Row 80 Col 49
Row 80 Col 68
Row 80 Col 81
Row 80 Col 83
Row 80 Col 94
Row 81 Col 1
Row 81 Col 20
Row 81 Col 55
Row 81 Col 58
Row 81 Col 68
Row 81 Col 92
Row 81 Col 102
Row 82 Col 59
Row 82 Col 70
Row 82 Col 111
Row 82 Col 116
Row 83 Col 0
Row 83 Col 19
Row 83 Col 92
Row 83 Col 134
Row 83 Col 136
Row 84 Col 2
Row 84 Col 15
Row 84 Col 30
Row 84 Col 111
Row 84 Col 136
Row 85 Col 10
Row 85 Col 47
Row 85 Col 49
Row 85 Col 86
Row 85 Col 91
Row 85 Col 125
Row 85 Col 136
Row 86 Col 0
Row 86 Col 49
Row 86 Col 53
Row 86 Col 67
Row 86 Col 100
Row 86 Col 117
Row 86 Col 125
Row 87 Col 69
Row 87 Col 110
Row 87 Col 125
Row 88 Col 53
Row 88 Col 119
Row 89 Col 27
Row 89 Col 29
Row 89 Col 53
Row 89 Col 63
Row 89 Col 100
Row 89 Col 106
Row 89 Col 136
Row 90 Col 37
Row 90 Col 92
Row 90 Col 102
Row 90 Col 108
Row 91 Col 0
Row 91 Col 20
Row 91 Col 27
Row 91 Col 61
Row 91 Col 73
Row 91 Col 102
Row 91 Col 104
Row 91 Col 106
Row 91 Col 135
Row 92 Col 102
Row 92 Col 133
Row 92 Col 135
Row 93 Col 3
Row 93 Col 24
Row 93 Col 90
Row 93 Col 128
Row 94 Col 0
Row 94 Col 50
Row 94 Col 88
Row 94 Col 136
Row 95 Col 3
Row 95 Col 52
Row 95 Col 85
Row 95 Col 96
Row 95 Col 113
Row 95 Col 120
Row 95 Col 136
Row 96 Col 8
Row 96 Col 48
Row 96 Col 62
Row 96 Col 110
Row 96 Col 134
Row 96 Col 136
Row 97 Col 12
Row 97 Col 72
Row 97 Col 89
Row 97 Col 136
Row 98 Col 3
Row 98 Col 8
Row 98 Col 62
Row 98 Col 74
Row 99 Col 66
Row 99 Col 89
Row 99 Col 99
Row 99 Col 136
Row 100 Col 3
Row 100 Col 8
Row 100 Col 29
Row 100 Col 73
Row 100 Col 77
Row 100 Col 96
Row 101 Col 84
Row 101 Col 89
Row 102 Col 114
Row 102 Col 131
Row 102 Col 136
Row 103 Col 116
Row 103 Col 131
Row 104 Col 0
Row 104 Col 14
Row 104 Col 30
Row 104 Col 31
Row 104 Col 95
Row 104 Col 97
Row 104 Col 136
Row 105 Col 14
Row 105 Col 42
Row 105 Col 43
Row 105 Col 47
Row 105 Col 59
Row 105 Col 133
Row 106 Col 3
Row 106 Col 12
Row 106 Col 30
Row 106 Col 68
Row 106 Col 120
Row 107 Col 41
Row 107 Col 70
Row 107 Col 85
Row 107 Col 89
Row 107 Col 131
Row 108 Col 3
Row 108 Col 34
Row 108 Col 43
Row 108 Col 71
Row 108 Col 136
Row 109 Col 1
Row 109 Col 43
Row 109 Col 48
Row 109 Col 83
Row 109 Col 85
Row 109 Col 114
Row 109 Col 129
Row 110 Col 14
Row 110 Col 16
Row 110 Col 30
Row 110 Col 67
Row 110 Col 69
Row 110 Col 97
Row 110 Col 136
Row 111 Col 82
Row 111 Col 127
Row 112 Col 34
Row 112 Col 65
Row 112 Col 76
Row 112 Col 125
Row 112 Col 136
Row 113 Col 3
Row 113 Col 63
Row 113 Col 127
Row 114 Col 4
Row 114 Col 14
Row 114 Col 21
Row 114 Col 27
Row 114 Col 65
Row 114 Col 105
Row 115 Col 25
Row 115 Col 56
Row 115 Col 101
Row 116 Col 0
Row 116 Col 12
Row 116 Col 25
Row 117 Col 0
Row 117 Col 54
Row 117 Col 112
Row 118 Col 0
Row 118 Col 19
Row 118 Col 23
Row 118 Col 39
Row 118 Col 52
Row 118 Col 83
Row 118 Col 92
Row 118 Col 114
Row 118 Col 132
Row 118 Col 136
Row 120 Col 0
Row 120 Col 14
Row 120 Col 48
Row 120 Col 85
Row 120 Col 98
Row 120 Col 105
Row 120 Col 107
Row 120 Col 135
Row 120 Col 136
Row 121 Col 4
Row 121 Col 35
Row 121 Col 107
Row 121 Col 109
Row 121 Col 123
Row 122 Col 0
Row 122 Col 105
Row 122 Col 123
Row 122 Col 136
Row 123 Col 9
Row 123 Col 11
Row 123 Col 22
Row 123 Col 48
Row 123 Col 50
Row 123 Col 86
Row 123 Col 112
Row 124 Col 0
Row 124 Col 11
Row 124 Col 43
Row 124 Col 62
Row 124 Col 87
Row 124 Col 136
Row 125 Col 7
Row 125 Col 85
Row 125 Col 115
Row 125 Col 136
Row 126 Col 8
Row 126 Col 10
Row 126 Col 42
Row 126 Col 136
Row 127 Col 0
Row 127 Col 30
Row 127 Col 81
Row 127 Col 96
Row 127 Col 113
Row 128 Col 6
Row 128 Col 12
Row 128 Col 28
Row 128 Col 77
Row 128 Col 86
Row 128 Col 108
Row 128 Col 114
Row 128 Col 136
Row 129 Col 86
Row 130 Col 12
Row 130 Col 53
Row 130 Col 70
Row 130 Col 84
Row 130 Col 112
Row 130 Col 136
Row 131 Col 12
Row 131 Col 51
Row 132 Col 10
Row 132 Col 19
Row 132 Col 53
Row 132 Col 57
Row 132 Col 69
Row 133 Col 26
Row 133 Col 53
Row 133 Col 67
Row 133 Col 120
Row 133 Col 136
Row 134 Col 0
Row 134 Col 9
Row 134 Col 10
Row 134 Col 22
Row 134 Col 28
Row 134 Col 67
Row 134 Col 75
Row 134 Col 99
Row 135 Col 0
Row 135 Col 1
Row 135 Col 13
Row 135 Col 71
Row 135 Col 81
Row 135 Col 101
Row 135 Col 111
Row 135 Col 136
Row 136 Col 45
Row 136 Col 50
Row 136 Col 79
Row 136 Col 90
Row 136 Col 97
Row 136 Col 109
Row 136 Col 114
Row 136 Col 134

Extra in Verilog:
Row 1 Col 80
Row 1 Col 89
Row 1 Col 120
Row 2 Col 70
Row 2 Col 88
Row 3 Col 3
Row 3 Col 4
Row 3 Col 6
Row 3 Col 8
Row 3 Col 128
Row 3 Col 129
Row 4 Col 101
Row 4 Col 112
Row 4 Col 113
Row 5 Col 0
Row 5 Col 21
Row 5 Col 38
Row 5 Col 112
Row 6 Col 3
Row 6 Col 15
Row 7 Col 2
Row 7 Col 40
Row 7 Col 62
Row 7 Col 79
Row 8 Col 3
Row 8 Col 46
Row 8 Col 117
Row 9 Col 23
Row 9 Col 83
Row 9 Col 123
Row 9 Col 126
Row 10 Col 19
Row 10 Col 39
Row 10 Col 51
Row 10 Col 68
Row 10 Col 69
Row 10 Col 86
Row 10 Col 93
Row 10 Col 119
Row 11 Col 0
Row 11 Col 1
Row 11 Col 2
Row 11 Col 33
Row 11 Col 56
Row 11 Col 73
Row 11 Col 85
Row 11 Col 122
Row 11 Col 123
Row 11 Col 129
Row 12 Col 53
Row 12 Col 71
Row 12 Col 72
Row 12 Col 79
Row 13 Col 109
Row 13 Col 111
Row 13 Col 132
Row 14 Col 55
Row 14 Col 61
Row 14 Col 78
Row 15 Col 0
Row 15 Col 48
Row 15 Col 95
Row 15 Col 103
Row 15 Col 105
Row 15 Col 135
Row 16 Col 39
Row 16 Col 43
Row 16 Col 63
Row 16 Col 118
Row 17 Col 105
Row 18 Col 0
Row 18 Col 2
Row 18 Col 120
Row 19 Col 18
Row 19 Col 130
Row 19 Col 131
Row 19 Col 132
Row 20 Col 28
Row 20 Col 65
Row 20 Col 67
Row 20 Col 88
Row 20 Col 112
Row 20 Col 119
Row 21 Col 3
Row 21 Col 7
Row 21 Col 54
Row 21 Col 111
Row 21 Col 123
Row 21 Col 134
Row 22 Col 0
Row 22 Col 6
Row 22 Col 15
Row 22 Col 100
Row 22 Col 131
Row 23 Col 15
Row 23 Col 37
Row 24 Col 0
Row 24 Col 9
Row 24 Col 19
Row 24 Col 36
Row 24 Col 116
Row 24 Col 133
Row 25 Col 33
Row 25 Col 34
Row 25 Col 72
Row 25 Col 84
Row 25 Col 113
Row 26 Col 71
Row 26 Col 80
Row 26 Col 87
Row 26 Col 120
Row 27 Col 65
Row 27 Col 86
Row 27 Col 88
Row 27 Col 92
Row 28 Col 5
Row 28 Col 6
Row 28 Col 112
Row 28 Col 122
Row 29 Col 9
Row 29 Col 118
Row 30 Col 2
Row 30 Col 22
Row 30 Col 100
Row 30 Col 114
Row 31 Col 55
Row 31 Col 120
Row 32 Col 7
Row 32 Col 135
Row 33 Col 32
Row 33 Col 33
Row 33 Col 87
Row 33 Col 103
Row 33 Col 134
Row 34 Col 133
Row 35 Col 0
Row 35 Col 37
Row 35 Col 45
Row 35 Col 64
Row 36 Col 6
Row 36 Col 18
Row 36 Col 19
Row 36 Col 26
Row 36 Col 51
Row 36 Col 135
Row 37 Col 22
Row 37 Col 82
Row 37 Col 106
Row 38 Col 13
Row 38 Col 83
Row 38 Col 127
Row 38 Col 129
Row 39 Col 109
Row 40 Col 19
Row 40 Col 129
Row 41 Col 0
Row 41 Col 77
Row 41 Col 116
Row 42 Col 8
Row 42 Col 29
Row 42 Col 33
Row 42 Col 111
Row 43 Col 0
Row 43 Col 28
Row 43 Col 82
Row 43 Col 100
Row 43 Col 130
Row 43 Col 131
Row 44 Col 1
Row 44 Col 121
Row 45 Col 0
Row 45 Col 34
Row 45 Col 42
Row 45 Col 64
Row 45 Col 74
Row 45 Col 79
Row 45 Col 85
Row 45 Col 134
Row 46 Col 15
Row 46 Col 19
Row 46 Col 23
Row 46 Col 78
Row 46 Col 87
Row 46 Col 114
Row 47 Col 24
Row 47 Col 115
Row 47 Col 119
Row 47 Col 133
Row 48 Col 1
Row 48 Col 5
Row 48 Col 87
Row 48 Col 103
Row 49 Col 93
Row 49 Col 97
Row 50 Col 4
Row 50 Col 27
Row 50 Col 39
Row 50 Col 42
Row 50 Col 60
Row 50 Col 62
Row 50 Col 70
Row 50 Col 71
Row 50 Col 84
Row 50 Col 107
Row 50 Col 109
Row 50 Col 131
Row 51 Col 93
Row 51 Col 115
Row 52 Col 43
Row 52 Col 55
Row 52 Col 100
Row 53 Col 15
Row 53 Col 16
Row 53 Col 34
Row 53 Col 36
Row 53 Col 81
Row 54 Col 2
Row 54 Col 33
Row 54 Col 46
Row 54 Col 104
Row 54 Col 108
Row 54 Col 110
Row 55 Col 27
Row 55 Col 32
Row 55 Col 52
Row 55 Col 107
Row 55 Col 135
Row 56 Col 10
Row 56 Col 20
Row 56 Col 21
Row 56 Col 70
Row 56 Col 106
Row 56 Col 114
Row 56 Col 127
Row 57 Col 3
Row 57 Col 24
Row 57 Col 36
Row 57 Col 48
Row 57 Col 73
Row 57 Col 93
Row 57 Col 134
Row 58 Col 5
Row 58 Col 23
Row 58 Col 37
Row 58 Col 82
Row 58 Col 94
Row 58 Col 116
Row 59 Col 6
Row 59 Col 26
Row 59 Col 33
Row 59 Col 47
Row 59 Col 62
Row 59 Col 63
Row 59 Col 74
Row 59 Col 121
Row 59 Col 127
Row 60 Col 0
Row 60 Col 34
Row 60 Col 77
Row 60 Col 83
Row 60 Col 126
Row 61 Col 38
Row 61 Col 65
Row 61 Col 117
Row 61 Col 132
Row 62 Col 36
Row 62 Col 37
Row 62 Col 86
Row 62 Col 125
Row 63 Col 15
Row 63 Col 42
Row 63 Col 85
Row 63 Col 135
Row 64 Col 20
Row 64 Col 29
Row 64 Col 34
Row 64 Col 78
Row 64 Col 88
Row 64 Col 89
Row 64 Col 118
Row 64 Col 127
Row 64 Col 128
Row 64 Col 134
Row 65 Col 18
Row 65 Col 19
Row 65 Col 35
Row 65 Col 121
Row 65 Col 131
Row 66 Col 13
Row 66 Col 15
Row 66 Col 17
Row 66 Col 47
Row 66 Col 58
Row 66 Col 92
Row 67 Col 0
Row 67 Col 1
Row 67 Col 16
Row 67 Col 108
Row 67 Col 113
Row 67 Col 134
Row 68 Col 4
Row 68 Col 15
Row 68 Col 41
Row 68 Col 54
Row 68 Col 61
Row 68 Col 116
Row 68 Col 117
Row 69 Col 8
Row 69 Col 44
Row 69 Col 87
Row 69 Col 134
Row 70 Col 0
Row 70 Col 20
Row 70 Col 73
Row 70 Col 86
Row 70 Col 130
Row 71 Col 101
Row 71 Col 110
Row 72 Col 17
Row 72 Col 61
Row 72 Col 116
Row 72 Col 124
Row 73 Col 21
Row 73 Col 75
Row 73 Col 105
Row 74 Col 19
Row 74 Col 21
Row 74 Col 63
Row 74 Col 90
Row 74 Col 132
Row 74 Col 133
Row 75 Col 0
Row 75 Col 5
Row 75 Col 6
Row 75 Col 79
Row 75 Col 92
Row 75 Col 94
Row 75 Col 127
Row 76 Col 9
Row 76 Col 97
Row 76 Col 126
Row 76 Col 135
Row 77 Col 0
Row 77 Col 10
Row 77 Col 77
Row 77 Col 106
Row 78 Col 37
Row 78 Col 51
Row 78 Col 70
Row 79 Col 1
Row 79 Col 21
Row 79 Col 102
Row 79 Col 109
Row 79 Col 124
Row 80 Col 4
Row 80 Col 84
Row 80 Col 92
Row 80 Col 113
Row 81 Col 8
Row 81 Col 61
Row 81 Col 127
Row 81 Col 131
Row 82 Col 110
Row 82 Col 130
Row 83 Col 11
Row 83 Col 29
Row 83 Col 46
Row 83 Col 93
Row 83 Col 95
Row 84 Col 10
Row 84 Col 17
Row 84 Col 71
Row 85 Col 4
Row 86 Col 58
Row 86 Col 96
Row 87 Col 0
Row 87 Col 11
Row 87 Col 48
Row 87 Col 58
Row 87 Col 60
Row 87 Col 105
Row 87 Col 107
Row 87 Col 111
Row 88 Col 92
Row 88 Col 99
Row 89 Col 98
Row 89 Col 103
Row 89 Col 134
Row 90 Col 0
Row 90 Col 35
Row 90 Col 107
Row 90 Col 121
Row 91 Col 63
Row 91 Col 93
Row 91 Col 124
Row 92 Col 63
Row 92 Col 130
Row 93 Col 2
Row 93 Col 47
Row 93 Col 54
Row 93 Col 79
Row 94 Col 1
Row 94 Col 20
Row 94 Col 43
Row 94 Col 52
Row 94 Col 112
Row 95 Col 0
Row 95 Col 51
Row 95 Col 82
Row 95 Col 110
Row 95 Col 121
Row 96 Col 7
Row 96 Col 25
Row 96 Col 37
Row 96 Col 47
Row 96 Col 49
Row 96 Col 57
Row 96 Col 59
Row 96 Col 95
Row 96 Col 106
Row 96 Col 113
Row 96 Col 114
Row 96 Col 116
Row 97 Col 0
Row 97 Col 28
Row 97 Col 96
Row 97 Col 98
Row 97 Col 124
Row 98 Col 2
Row 98 Col 47
Row 98 Col 97
Row 98 Col 116
Row 99 Col 17
Row 99 Col 36
Row 99 Col 38
Row 99 Col 40
Row 99 Col 42
Row 99 Col 68
Row 99 Col 72
Row 99 Col 88
Row 99 Col 94
Row 99 Col 96
Row 99 Col 100
Row 99 Col 128
Row 100 Col 0
Row 100 Col 35
Row 100 Col 41
Row 100 Col 95
Row 100 Col 117
Row 101 Col 0
Row 101 Col 55
Row 101 Col 120
Row 101 Col 130
Row 101 Col 135
Row 102 Col 30
Row 102 Col 46
Row 102 Col 102
Row 103 Col 123
Row 104 Col 5
Row 104 Col 7
Row 104 Col 18
Row 104 Col 27
Row 104 Col 58
Row 104 Col 104
Row 104 Col 119
Row 105 Col 0
Row 105 Col 103
Row 105 Col 105
Row 105 Col 117
Row 106 Col 33
Row 106 Col 78
Row 106 Col 85
Row 106 Col 121
Row 107 Col 56
Row 107 Col 112
Row 107 Col 132
Row 108 Col 13
Row 108 Col 37
Row 108 Col 68
Row 108 Col 76
Row 108 Col 92
Row 108 Col 104
Row 108 Col 114
Row 109 Col 0
Row 109 Col 42
Row 109 Col 81
Row 109 Col 90
Row 109 Col 128
Row 109 Col 130
Row 111 Col 0
Row 111 Col 100
Row 111 Col 115
Row 111 Col 125
Row 112 Col 26
Row 112 Col 32
Row 112 Col 63
Row 112 Col 80
Row 113 Col 0
Row 113 Col 31
Row 113 Col 56
Row 113 Col 92
Row 113 Col 128
Row 114 Col 10
Row 114 Col 26
Row 114 Col 40
Row 114 Col 44
Row 114 Col 62
Row 114 Col 70
Row 114 Col 107
Row 114 Col 109
Row 114 Col 131
Row 115 Col 33
Row 115 Col 47
Row 115 Col 84
Row 115 Col 90
Row 115 Col 98
Row 115 Col 105
Row 116 Col 14
Row 116 Col 22
Row 116 Col 47
Row 116 Col 51
Row 116 Col 88
Row 116 Col 112
Row 116 Col 114
Row 116 Col 119
Row 117 Col 27
Row 117 Col 33
Row 117 Col 57
Row 117 Col 113
Row 118 Col 34
Row 118 Col 40
Row 118 Col 47
Row 118 Col 80
Row 118 Col 134
Row 119 Col 30
Row 119 Col 35
Row 119 Col 47
Row 119 Col 108
Row 120 Col 49
Row 120 Col 84
Row 120 Col 92
Row 120 Col 103
Row 121 Col 0
Row 121 Col 3
Row 121 Col 23
Row 121 Col 48
Row 121 Col 91
Row 121 Col 104
Row 121 Col 111
Row 121 Col 130
Row 122 Col 10
Row 122 Col 107
Row 122 Col 121
Row 122 Col 131
Row 123 Col 5
Row 123 Col 7
Row 123 Col 20
Row 123 Col 34
Row 123 Col 84
Row 123 Col 89
Row 123 Col 101
Row 124 Col 104
Row 124 Col 121
Row 125 Col 0
Row 125 Col 37
Row 126 Col 21
Row 126 Col 40
Row 126 Col 44
Row 126 Col 56
Row 126 Col 58
Row 126 Col 107
Row 127 Col 39
Row 127 Col 57
Row 127 Col 87
Row 128 Col 9
Row 128 Col 65
Row 128 Col 83
Row 128 Col 84
Row 128 Col 89
Row 128 Col 96
Row 128 Col 110
Row 130 Col 1
Row 130 Col 28
Row 130 Col 56
Row 130 Col 63
Row 130 Col 69
Row 130 Col 101
Row 131 Col 0
Row 131 Col 111
Row 132 Col 0
Row 132 Col 3
Row 132 Col 4
Row 132 Col 107
Row 132 Col 121
Row 133 Col 13
Row 133 Col 14
Row 133 Col 98
Row 133 Col 108
Row 134 Col 12
Row 134 Col 34
Row 134 Col 113
Row 134 Col 123
Row 135 Col 24
Row 135 Col 29
Row 135 Col 30
Row 135 Col 68
Row 135 Col 84
Row 135 Col 121
Row 135 Col 122
Row 135 Col 126
Row 136 Col 0
Row 136 Col 23
Row 136 Col 48
Row 136 Col 53
Row 136 Col 62
Row 136 Col 87
Row 136 Col 93
Row 136 Col 115
Row 136 Col 119
Row 136 Col 121
Row 136 Col 131
